Atoms,Eigenvalue Q(w) PBE,MP2 Error (kcal/mol),RIRPA Error (kcal/mol),alpha_c,valence electron,Eigenvalue Q(w) HF
300,6.373368756,,,0.1569028936,1200,
2,0.6278290727,-8.157616978E-07,6.337840815E-07,1.5927902091,4,0.4092448667
92,6.46117082,-47.24252824,3.266690902,0.1547707107,270,2.063169509
86,4.25779852,-32.68605088,2.617185519,0.2348631565,244,1.87079488
126,5.3690435,-36.80043955,5.689191428,0.1862529145,406,1.916904122
113,5.39967915,-30.0257862,-0.1318842244,0.1851961889,358,1.918094997
100,5.35809884,-56.30807788,-2.048902621,0.1866333619,328,1.922668359
92,6.6753668,-46.3712065,5.148309606,0.1498045021,286,2.11777731
156,4.53894894,-68.67181142,-2.964619223,0.2203153226,468,1.927955872
180,4.52678068,-77.48250991,-3.006283348,0.2209075435,540,1.922433803
148,5.05090934,-80.66678651,0.8544167811,0.1979841515,508,2.003908982
158,6.04152518,-84.79972818,1.646196426,0.1655211176,548,2.062849496
140,5.41461122,-99.52814734,-1.943377652,0.1846854667,520,2.118295567
150,6.17487381,-100.4597112,-1.299157357,0.1619466293,560,2.132288098
205,4.10493426,-36.14435885,2.394102309,0.2436092606,590,1.716728134
204,4.11548104,-41.39763748,2.13743539,0.242984961,590,1.721645858
69,3.73163467,-24.0755518,6.571296592,0.2679790731,308,1.622678361
74,3.66412339,-33.65095557,3.95330049,0.2729165734,326,1.610399478
144,4.02023835,-41.39814918,0.6572665053,0.2487414708,392,1.675159257
142,5.16733552,-31.66364219,2.300442631,0.1935233344,388,1.736149464
163,2.92388576,-17.99308056,0.2661316056,0.3420106263,484,1.452837992
172,2.92903073,-21.97216723,0.8973557663,0.3414098697,502,1.454788273
153,3.68846493,-34.02939321,-2.373359921,0.2711154963,496,1.610622275
133,3.7678514,-39.31040896,-0.3251217466,0.2654032481,348,1.616356396
98,4.08310721,-65.58546673,-0.9357271684,0.2449115217,276,1.609830877
184,3.64880313,-150.6155939,-1.433889651,0.2740624705,558,1.600285438
142,4.07962876,-52.38030861,0.8078109893,0.2451203428,388,1.745085298
142,4.09016858,-52.31218099,0.9066919364,0.2444887003,388,1.755108058
125,3.67622683,-87.60353429,1.292940418,0.2720180354,404,1.608515348
122,3.67632445,-83.51243419,1.27819853,0.2720108123,398,1.607559575
121,3.87803318,-58.32896017,-1.456635095,0.2578626725,320,1.696175302
128,3.89660414,-54.50568396,-0.1968025027,0.2566337159,342,1.704904026
72,4.16078275,-14.77730557,3.173037497,0.2403393929,216,1.765151691
87,4.26049553,-9.870399423,2.044796997,0.2347144817,284,1.764180173
101,4.37603558,-15.86508786,3.539523386,0.2285173376,332,1.765960953
112,2.13045939,-1.049917211,2.387851916,0.4693823335,220,1.171527489
58,3.68361966,-5.435299084,0.0100187185,0.2714721096,196,1.563337698
48,4.13397017,-2.517292816,-0.0100604038,0.2418982138,168,1.675027876
87,3.69793239,-1.182363144,-0.8619484433,0.2704213854,240,1.579059881
6,2.30144466,-0.1086861494,0.2760887287,0.4345096875,16,1.301300393
9,2.41341081,-0.1169131708,0.7450757791,0.4143513387,22,1.32774334
10,2.32308591,-0.1614068307,0.8687098262,0.4304619109,22,1.295508989
15,3.46226188,0.0158153078,0.9412868934,0.2888285273,38,1.529343899
12,2.43612329,-0.1490577016,0.7052379295,0.4104882557,28,1.333933964
13,2.3967377,-0.1762852214,0.9164804841,0.4172338091,28,1.316499561
18,3.45103805,-0.0253763972,0.9320743606,0.2897678859,44,1.531429529
9,2.36994674,-0.1213762575,0.6498298418,0.4219504106,22,1.315639197
13,2.40076623,-0.0359781877,0.4734309151,0.4165336831,28,1.321263706
14,2.27543569,-0.1756428363,0.6397163718,0.4394762745,28,1.253106969
19,3.46711578,-0.1896521816,0.7414979865,0.2884241726,44,1.538530609
10,2.31963113,-0.2103268664,0.9472147394,0.4311030263,22,1.294782386
18,3.49559213,-0.2225551091,0.5535342406,0.2860745656,44,1.545363383
19,3.50450405,-0.2715579728,0.6710657742,0.2853470807,44,1.54588442
24,3.55092482,-0.1208018361,0.6627946166,0.2816167761,60,1.547578045
15,3.50987088,-0.1608987374,0.4354718998,0.2849107657,38,1.542951918
24,3.76034871,0.0760957824,1.152662982,0.2659327837,84,1.591309059
14,3.2279107,-0.2332097518,0.7776291105,0.3097979136,38,1.485233007
17,3.23020645,-0.2967428733,0.8064999251,0.3095777361,44,1.486728391
16,3.44759854,0.1934013693,1.19275007,0.290056974,48,1.530143306
18,3.46662229,0.1921160179,0.86981284,0.2884652311,48,1.517489546
20,3.73512182,0.1504565913,1.256378094,0.2677288849,66,1.589808313
21,3.73276354,0.1265168875,1.1317794,0.2678980303,66,1.589747765
24,3.16887475,-2.127465738,0.4966296809,0.3155694304,60,1.444107488
22,3.29151062,-2.317120665,0.6258970388,0.303811871,60,1.500842462
24,3.85139626,-1.728221312,0.7625981392,0.2596460952,84,1.619774809
23,3.29373887,-2.226676796,0.5667862437,0.303606339,60,1.500731389
24,3.78592783,-2.176868827,0.7235616211,0.264136044,72,1.60866589
23,3.78347665,-2.142733294,0.7672494382,0.2643071684,72,1.608982719
18,3.31402716,-0.9993251768,0.4671238104,0.3017476779,42,1.447540861
18,3.76231735,-0.7719529017,0.5535345151,0.2657936338,54,1.603564316
16,4.05084415,-0.7714394666,0.5889465113,0.2468621263,52,1.714905113
17,3.3145401,-1.056136092,0.5252143478,0.3017009811,42,1.478750222
34,2.0344955,-0.3066226765,0.8108154406,0.4915223455,64,1.133060702
34,2.07274019,-0.1537208211,0.559050207,0.4824531337,64,1.146579158
34,2.0774269,-0.0422902269,0.3894630429,0.4813647113,64,1.146745598
32,2.09417808,-0.1606168614,0.5488415314,0.4775143096,62,1.171693239
30,2.09921551,-0.2323191177,0.6458673133,0.4763684316,60,1.179516373
27,3.00488506,-1.20067479,0.5588918406,0.3327914313,60,1.387377292
29,2.99896391,-0.8604007941,0.4201306008,0.3334484942,62,1.384223773
29,3.77477077,-0.857675195,0.622727561,0.2649167488,74,1.608006247
27,3.77274198,-0.8076011652,0.5425687821,0.2650592077,72,1.60802476
29,3.76754089,-0.5365746704,0.4152188818,0.2654251219,74,1.60589819
23,3.22185395,-0.2266365591,0.4703778919,0.3103803014,44,1.398391173
21,4.02267293,-0.4314997499,0.4162343943,0.2485909288,42,1.71152256
29,3.51886819,-0.4386166339,0.6924914173,0.2841822842,62,1.548696089
24,3.07952563,-1.033201729,0.3667817317,0.3247253376,60,1.411176033
22,3.25778109,-0.9973554845,0.4310418378,0.306957396,60,1.49264183
23,3.21759034,-0.9935583998,0.4071162888,0.3107915845,68,1.482520016
16,4.01254337,-0.6858792438,0.3386748409,0.2492184901,48,1.707366862
8,4.00929883,-0.1366839041,0.2561247482,0.2494201711,8,1.703433331
20,3.51276615,-0.6608939177,0.3868559906,0.2846759384,54,1.561057128
21,3.4758564,-0.4344477123,0.4374933064,0.2876988819,60,1.541581714
15,2.99106157,-0.541218297,0.2628109274,0.3343294602,36,1.378785617
18,2.99391721,-0.7848140726,0.5025006726,0.3340105721,38,1.382041667
19,2.99413372,-0.7773598297,0.4507015776,0.3339864193,36,1.38186864
24,3.51889809,-1.112711297,0.4912783913,0.2841798695,76,1.546957224
22,3.28118633,-0.1880025441,0.4434731726,0.3047678185,66,1.499208348
7,3.99899828,-0.0609216531,0.3778524232,0.2500626232,6,1.699677741
12,3.97433207,-0.0963042325,0.7153640932,0.2516146065,26,1.698716929
25,3.50756656,-0.2472203326,0.4970739621,0.2850979398,60,1.563609948
26,3.48392598,-0.3062621135,0.5732901579,0.2870325046,58,1.548201172
20,3.50344867,-0.9241118826,0.5162420258,0.2854330388,58,1.561155038
18,3.51110525,-0.2681043521,0.4692083876,0.284810602,56,1.546063989
15,4.01631336,-0.1232403676,0.4451235102,0.2489845563,56,1.705897734
18,3.22289873,-0.6887730704,0.6532877884,0.3102796842,60,1.484264796
