nth,He,benzene,coronene,comp5
2,-0.0000732752700000061,-3.851314707,-27.58274672,-49.5299179
3,0.0000411352299999924,12.94283554,92.33120712,98.49060569
4,-0.0000245783700000080,-2.448890576,-45.83743496,-59.00107075
5,0.0000148469299999922,14.14014857,138.2722629,145.8761156
6,-0.0000089513700000078,-5.118618956,-121.9279225,-145.3918217
7,0.0000053703299999922,18.3301442,258.7811261,292.1595128
8,-0.0000032051826417534,-11.19008072,-311.3036644,-390.604432
9,0.0000019038372194040,26.88752886,556.5911704,704.6782281
10,-0.0000011263194444993,-23.12106251,-781.0785386,-1089.542918
11,0.0000006639387047174,43.45296757,1300.341889,1898.174827
12,-0.0000003903088059184,-46.09259239,-1962.903132,-3142.967473
13,0.0000002287945512284,75.31053996,3184.808918,5455.901706
14,-0.0000001339147608213,-90.30349049,-4977.560393,-9346.453701
15,0.0000000781552192791,136.7214758,8022.174578,16335.43134
16,-0.0000000456242728044,-175.6907164,-12761.86019,-28526.8806
17,0.0000000265147620959,255.5622459,20582.45501,50311.02374
18,-0.0000000154737407676,-341.2451621,-33080.1937,-88969.94272
19,0.0000000089381638062,486.3908185,53530.85391,158262.306
20,-0.0000000052430981935,-663.3374865,-86634.39946,-282461.1588